protein id	RAW
4799seudomonas_245	6398
4686seudomonas_132	4295
1951seudomonas_60	4080
3961seudomonas_783	2960
3923seudomonas_745	2483
2211seudomonas_320	2481
2777seudomonas_71	2404
2212seudomonas_321	2145
234seudomonas_234	2087
4882seudomonas_328	1877
3289seudomonas_111	1873
2216seudomonas_325	1730
3295seudomonas_117	1577
184seudomonas_184	1568
1930seudomonas_39	1523
4045seudomonas_867	1480
2565seudomonas_339	1407
3468seudomonas_290	1305
6367seudomonas_195	1296
826seudomonas_20	1264
5451seudomonas_40	1237
3837seudomonas_659	1229
824seudomonas_18	1224
4033seudomonas_855	1220
2215seudomonas_324	1188
4687seudomonas_133	1158
1895seudomonas_4	1153
6081seudomonas_31	1056
4487seudomonas_1309	1034
1255seudomonas_449	932
4057seudomonas_879	918
2185seudomonas_294	902
3294seudomonas_116	900
3639seudomonas_461	896
2217seudomonas_326	881
6295seudomonas_123	880
2188seudomonas_297	877
2521seudomonas_295	856
658seudomonas_658	833
2092seudomonas_201	781
4692seudomonas_138	765
2418seudomonas_192	760
6415seudomonas_243	742
192seudomonas_192	719
3299seudomonas_121	719
2932seudomonas_226	711
2891seudomonas_185	682
2410seudomonas_184	673
3298seudomonas_120	667
6097seudomonas_47	638
4655seudomonas_101	625
3981seudomonas_803	617
4436seudomonas_1258	611
2890seudomonas_184	599
2206seudomonas_315	591
827seudomonas_21	586
4138seudomonas_960	584
5009seudomonas_455	573
1929seudomonas_38	572
1504seudomonas_129	570
4711seudomonas_157	569
2606seudomonas_380	545
1503seudomonas_128	537
5633seudomonas_35	528
1122seudomonas_316	525
3772seudomonas_594	520
4800seudomonas_246	516
67seudomonas_67	509
1386seudomonas_11	495
3227seudomonas_49	495
2798seudomonas_92	491
5595seudomonas_184	483
3046seudomonas_340	479
3056seudomonas_350	471
4727seudomonas_173	470
2218seudomonas_327	468
6228seudomonas_56	459
5491seudomonas_80	447
221seudomonas_221	446
5582seudomonas_171	446
2200seudomonas_309	442
4272seudomonas_1094	441
3661seudomonas_483	438
3064seudomonas_358	432
2610seudomonas_384	426
180seudomonas_180	424
3903seudomonas_725	424
3931seudomonas_753	422
4029seudomonas_851	417
885seudomonas_79	401
2409seudomonas_183	400
2523seudomonas_297	397
3302seudomonas_124	395
4974seudomonas_420	393
822seudomonas_16	390
3136seudomonas_67	385
4164seudomonas_986	385
3305seudomonas_127	383
3958seudomonas_780	383
956seudomonas_150	377
941seudomonas_135	369
2784seudomonas_78	359
3417seudomonas_239	358
2563seudomonas_337	357
2203seudomonas_312	356
1922seudomonas_31	355
4694seudomonas_140	349
902seudomonas_96	348
3066seudomonas_360	339
984seudomonas_178	339
3599seudomonas_421	335
4486seudomonas_1308	331
2522seudomonas_296	330
3291seudomonas_113	329
6091seudomonas_41	326
1934seudomonas_43	324
1871seudomonas_59	320
2192seudomonas_301	319
3475seudomonas_297	318
3285seudomonas_107	309
1427seudomonas_52	307
4779seudomonas_225	306
3499seudomonas_321	305
3405seudomonas_227	302
70seudomonas_70	302
3250seudomonas_72	299
720seudomonas_720	299
2208seudomonas_317	298
2219seudomonas_328	298
4868seudomonas_314	298
188seudomonas_188	293
2209seudomonas_318	293
1414seudomonas_39	292
1446seudomonas_71	292
1874seudomonas_62	289
3651seudomonas_473	287
2406seudomonas_180	284
6413seudomonas_241	280
3637seudomonas_459	279
4689seudomonas_135	279
5577seudomonas_166	278
359seudomonas_359	276
807seudomonas_1	273
3905seudomonas_727	272
2524seudomonas_298	270
5626seudomonas_28	269
1260seudomonas_2	268
4748seudomonas_194	266
3622seudomonas_444	264
6297seudomonas_125	262
