protein id	RAW
6415seudomonas_243	7909
2418seudomonas_192	7504
1895seudomonas_4	4250
2217seudomonas_326	3741
2777seudomonas_71	3660
4799seudomonas_245	2909
4687seudomonas_133	2546
234seudomonas_234	2526
2667seudomonas_441	1973
1305seudomonas_47	1961
1951seudomonas_60	1536
3295seudomonas_117	1397
1930seudomonas_39	1358
4686seudomonas_132	1096
2211seudomonas_320	953
4727seudomonas_173	940
4711seudomonas_157	880
3294seudomonas_116	876
3296seudomonas_118	875
2185seudomonas_294	863
1922seudomonas_31	726
4033seudomonas_855	671
2215seudomonas_324	606
3618seudomonas_440	559
3468seudomonas_290	558
2183seudomonas_292	546
2216seudomonas_325	517
1108seudomonas_302	513
6342seudomonas_170	476
3305seudomonas_127	465
956seudomonas_150	457
824seudomonas_18	444
3227seudomonas_49	369
4057seudomonas_879	361
3300seudomonas_122	352
4692seudomonas_138	343
6339seudomonas_167	338
6081seudomonas_31	336
5582seudomonas_171	309
3291seudomonas_113	299
6436seudomonas_264	298
2139seudomonas_248	296
1414seudomonas_39	276
826seudomonas_20	276
4759seudomonas_205	272
6295seudomonas_123	270
1848seudomonas_36	265
5491seudomonas_80	262
3299seudomonas_121	248
5633seudomonas_35	247
4655seudomonas_101	243
3302seudomonas_124	241
3298seudomonas_120	237
1977seudomonas_86	234
2213seudomonas_322	234
5626seudomonas_28	229
6297seudomonas_125	229
1503seudomonas_128	224
3924seudomonas_746	215
2205seudomonas_314	214
5849seudomonas_251	212
4165seudomonas_987	210
2188seudomonas_297	196
184seudomonas_184	193
885seudomonas_79	192
1504seudomonas_129	190
3961seudomonas_783	186
5595seudomonas_184	179
4974seudomonas_420	172
5513seudomonas_102	172
4273seudomonas_1095	166
3788seudomonas_610	165
5451seudomonas_40	164
5862seudomonas_264	162
4861seudomonas_307	160
5584seudomonas_173	160
2212seudomonas_321	159
4119seudomonas_941	159
6139seudomonas_89	159
2561seudomonas_335	150
4642seudomonas_88	149
4818seudomonas_264	147
6341seudomonas_169	146
6228seudomonas_56	143
2218seudomonas_327	140
4355seudomonas_1177	140
1401seudomonas_26	139
822seudomonas_16	136
965seudomonas_159	133
2421seudomonas_195	129
940seudomonas_134	127
3673seudomonas_495	126
3637seudomonas_459	122
3417seudomonas_239	120
5170seudomonas_152	120
905seudomonas_99	119
1947seudomonas_56	118
4639seudomonas_85	114
5445seudomonas_34	114
6140seudomonas_90	112
2043seudomonas_152	110
1340seudomonas_82	109
1260seudomonas_2	108
827seudomonas_21	107
2669seudomonas_443	106
1122seudomonas_316	105
3621seudomonas_443	105
2564seudomonas_338	103
65seudomonas_65	103
2466seudomonas_240	102
2092seudomonas_201	100
3622seudomonas_444	100
3916seudomonas_738	98
6229seudomonas_57	97
3837seudomonas_659	95
2187seudomonas_296	93
2410seudomonas_184	93
5417seudomonas_6	93
4439seudomonas_1261	92
2099seudomonas_208	91
223seudomonas_223	89
4732seudomonas_178	89
1946seudomonas_55	87
2203seudomonas_312	86
999seudomonas_193	86
3960seudomonas_782	84
2219seudomonas_328	83
5009seudomonas_455	83
6230seudomonas_58	83
6355seudomonas_183	82
984seudomonas_178	82
2968seudomonas_262	81
4338seudomonas_1160	80
2580seudomonas_354	78
3250seudomonas_72	77
4450seudomonas_1272	77
2932seudomonas_226	74
3604seudomonas_426	74
4800seudomonas_246	74
1715seudomonas_108	73
3507seudomonas_329	73
6184seudomonas_12	73
2179seudomonas_288	72
435seudomonas_435	72
5801seudomonas_203	72
3184seudomonas_6	71
4868seudomonas_314	69
1030seudomonas_224	67
1255seudomonas_449	67
3071seudomonas_2	67
5792seudomonas_194	67
1969seudomonas_78	66
2197seudomonas_306	66
4486seudomonas_1308	66
1588seudomonas_213	64
2892seudomonas_186	64
3221seudomonas_43	64
3715seudomonas_537	64
5865seudomonas_267	64
1034seudomonas_228	63
1502seudomonas_127	63
1544seudomonas_169	63
3481seudomonas_303	63
4375seudomonas_1197	63
6124seudomonas_74	63
6231seudomonas_59	63
3903seudomonas_725	61
5945seudomonas_347	61
6301seudomonas_129	61
6384seudomonas_212	61
1981seudomonas_90	60
1595seudomonas_220	59
4302seudomonas_1124	59
5826seudomonas_228	59
6340seudomonas_168	59
4034seudomonas_856	58
1546seudomonas_171	57
2208seudomonas_317	57
425seudomonas_425	57
4272seudomonas_1094	57
812seudomonas_6	57
2060seudomonas_169	56
2200seudomonas_309	56
2424seudomonas_198	56
1179seudomonas_373	55
1931seudomonas_40	55
2409seudomonas_183	55
2753seudomonas_47	55
4764seudomonas_210	55
2220seudomonas_329	53
3066seudomonas_360	53
1591seudomonas_216	52
3065seudomonas_359	52
3915seudomonas_737	52
3923seudomonas_745	52
4882seudomonas_328	52
1816seudomonas_4	50
4356seudomonas_1178	50
5516seudomonas_105	50
825seudomonas_19	50
1898seudomonas_7	49
3183seudomonas_5	49
3289seudomonas_111	49
4029seudomonas_851	49
4189seudomonas_1011	49
971seudomonas_165	49
1039seudomonas_233	47
502seudomonas_502	47
5519seudomonas_108	47
5556seudomonas_145	47
4113seudomonas_935	46
2423seudomonas_197	45
2755seudomonas_49	45
6367seudomonas_195	45
1874seudomonas_62	44
2765seudomonas_59	44
4358seudomonas_1180	43
1871seudomonas_59	42
1054seudomonas_248	41
188seudomonas_188	41
2668seudomonas_442	41
contaminant_KERATIN13	41
4874seudomonas_320	40
5460seudomonas_49	40
6223seudomonas_51	40
935seudomonas_129	40
1929seudomonas_38	39
