protein id	RAW
4655seudomonas_101	5591
2418seudomonas_192	4102
1305seudomonas_47	3545
2217seudomonas_326	2949
6415seudomonas_243	2900
3837seudomonas_659	2425
1895seudomonas_4	2205
4045seudomonas_867	1760
4375seudomonas_1197	1589
3295seudomonas_117	1567
4033seudomonas_855	1439
4379seudomonas_1201	1314
4687seudomonas_133	1253
1951seudomonas_60	1103
4799seudomonas_245	1084
4376seudomonas_1198	1058
5491seudomonas_80	998
4686seudomonas_132	973
3294seudomonas_116	969
5052seudomonas_34	969
1930seudomonas_39	838
1122seudomonas_316	802
1255seudomonas_449	799
2211seudomonas_320	780
234seudomonas_234	755
4373seudomonas_1195	755
6228seudomonas_56	737
4727seudomonas_173	719
3296seudomonas_118	716
1929seudomonas_38	710
5451seudomonas_40	700
3961seudomonas_783	676
2777seudomonas_71	674
2183seudomonas_292	611
1336seudomonas_78	563
3903seudomonas_725	550
4272seudomonas_1094	548
4189seudomonas_1011	532
5582seudomonas_171	504
6202seudomonas_30	493
2215seudomonas_324	490
3923seudomonas_745	484
1386seudomonas_11	464
4882seudomonas_328	451
4057seudomonas_879	448
4764seudomonas_210	413
4695seudomonas_141	394
5380seudomonas_362	381
6384seudomonas_212	375
3305seudomonas_127	374
1427seudomonas_52	365
5626seudomonas_28	358
4450seudomonas_1272	347
2409seudomonas_183	345
1503seudomonas_128	341
6355seudomonas_183	341
1922seudomonas_31	337
3981seudomonas_803	330
646seudomonas_646	327
1452seudomonas_77	324
2092seudomonas_201	318
2212seudomonas_321	316
2216seudomonas_325	312
5633seudomonas_35	309
6081seudomonas_31	309
3287seudomonas_109	299
2610seudomonas_384	296
1357seudomonas_99	291
4138seudomonas_960	289
3468seudomonas_290	282
2565seudomonas_339	275
6140seudomonas_90	274
184seudomonas_184	269
1260seudomonas_2	266
2082seudomonas_191	263
3654seudomonas_476	258
2185seudomonas_294	253
4578seudomonas_24	253
2410seudomonas_184	251
3291seudomonas_113	250
6426seudomonas_254	249
590seudomonas_590	247
4868seudomonas_314	241
1121seudomonas_315	232
4711seudomonas_157	232
5513seudomonas_102	231
3978seudomonas_800	228
3262seudomonas_84	225
3184seudomonas_6	224
3064seudomonas_358	223
3214seudomonas_36	221
5664seudomonas_66	211
5801seudomonas_203	210
6124seudomonas_74	207
4358seudomonas_1180	205
3284seudomonas_106	204
5292seudomonas_274	202
6184seudomonas_12	202
824seudomonas_18	201
