protein id	RAW
2667seudomonas_441	9082
435seudomonas_435	5306
2211seudomonas_320	3389
3837seudomonas_659	3381
5945seudomonas_347	2553
2212seudomonas_321	2494
4655seudomonas_101	2317
1951seudomonas_60	2074
5451seudomonas_40	2061
6081seudomonas_31	2036
3295seudomonas_117	1962
3294seudomonas_116	1859
2418seudomonas_192	1731
4033seudomonas_855	1678
4045seudomonas_867	1665
4882seudomonas_328	1581
3923seudomonas_745	1564
1929seudomonas_38	1527
1427seudomonas_52	1442
4799seudomonas_245	1249
2777seudomonas_71	1198
6415seudomonas_243	1152
4686seudomonas_132	1139
6228seudomonas_56	1092
3296seudomonas_118	1061
1122seudomonas_316	1044
4272seudomonas_1094	1010
1895seudomonas_4	1003
5491seudomonas_80	1002
4375seudomonas_1197	998
6355seudomonas_183	817
3961seudomonas_783	805
3481seudomonas_303	801
6209seudomonas_37	718
2216seudomonas_325	714
5622seudomonas_24	709
234seudomonas_234	699
3957seudomonas_779	692
1386seudomonas_11	656
5582seudomonas_171	642
1255seudomonas_449	627
2410seudomonas_184	616
1930seudomonas_39	600
3065seudomonas_359	596
2610seudomonas_384	593
3289seudomonas_111	580
6111seudomonas_61	576
3305seudomonas_127	573
913seudomonas_107	536
3981seudomonas_803	532
4454seudomonas_1276	532
1305seudomonas_47	524
2565seudomonas_339	524
1066seudomonas_260	500
4868seudomonas_314	494
1981seudomonas_90	489
4189seudomonas_1011	486
3056seudomonas_350	481
3599seudomonas_421	470
1452seudomonas_77	469
4487seudomonas_1309	466
3262seudomonas_84	462
4647seudomonas_93	458
4695seudomonas_141	455
3221seudomonas_43	438
3903seudomonas_725	437
4057seudomonas_879	435
3468seudomonas_290	433
1503seudomonas_128	432
3214seudomonas_36	423
180seudomonas_180	417
5052seudomonas_34	417
3064seudomonas_358	403
5626seudomonas_28	397
1309seudomonas_51	378
3890seudomonas_712	368
3066seudomonas_360	361
2409seudomonas_183	357
2502seudomonas_276	353
1123seudomonas_317	351
4687seudomonas_133	348
2586seudomonas_360	346
1357seudomonas_99	345
1947seudomonas_56	341
1934seudomonas_43	340
2183seudomonas_292	340
6295seudomonas_123	333
2668seudomonas_442	326
1617seudomonas_10	319
1401seudomonas_26	317
2092seudomonas_201	313
5664seudomonas_66	312
184seudomonas_184	309
5633seudomonas_35	307
4658seudomonas_104	305
6202seudomonas_30	305
5632seudomonas_34	302
5577seudomonas_166	300
2503seudomonas_277	299
5427seudomonas_16	298
5292seudomonas_274	297
4711seudomonas_157	292
6229seudomonas_57	291
3510seudomonas_332	285
3718seudomonas_540	285
1882seudomonas_70	284
4578seudomonas_24	282
4450seudomonas_1272	281
4307seudomonas_1129	278
2215seudomonas_324	276
4337seudomonas_1159	274
2968seudomonas_262	267
4806seudomonas_252	266
3639seudomonas_461	265
1476seudomonas_101	263
1435seudomonas_60	262
4764seudomonas_210	261
1681seudomonas_74	260
1013seudomonas_207	258
4133seudomonas_955	257
6384seudomonas_212	253
3499seudomonas_321	252
5580seudomonas_169	252
3285seudomonas_107	246
4600seudomonas_46	246
4712seudomonas_158	246
6078seudomonas_28	246
5285seudomonas_267	245
4358seudomonas_1180	244
1339seudomonas_81	240
5437seudomonas_26	240
3722seudomonas_544	239
4895seudomonas_341	239
2424seudomonas_198	238
4164seudomonas_986	237
1504seudomonas_129	235
1293seudomonas_35	231
1146seudomonas_340	230
4800seudomonas_246	228
1179seudomonas_373	226
3183seudomonas_5	226
4759seudomonas_205	224
4634seudomonas_80	223
6037seudomonas_439	223
1108seudomonas_302	222
2059seudomonas_168	222
5446seudomonas_35	222
824seudomonas_18	222
4732seudomonas_178	221
11seudomonas_11	220
4029seudomonas_851	220
720seudomonas_720	219
4740seudomonas_186	218
1954seudomonas_63	216
1342seudomonas_84	211
1092seudomonas_286	210
1570seudomonas_195	209
2883seudomonas_177	208
3299seudomonas_121	208
6359seudomonas_187	208
1871seudomonas_59	207
885seudomonas_79	204
4379seudomonas_1201	202
6097seudomonas_47	202
4128seudomonas_950	201
3736seudomonas_558	200
1946seudomonas_55	199
4978seudomonas_424	197
2944seudomonas_238	195
4457seudomonas_1279	194
1587seudomonas_212	193
4692seudomonas_138	193
980seudomonas_174	193
2043seudomonas_152	192
5619seudomonas_21	192
4689seudomonas_135	191
3417seudomonas_239	190
70seudomonas_70	189
2798seudomonas_92	188
3988seudomonas_810	187
3650seudomonas_472	186
4376seudomonas_1198	186
6342seudomonas_170	185
2921seudomonas_215	184
3654seudomonas_476	184
4965seudomonas_411	184
168seudomonas_168	182
6389seudomonas_217	182
5453seudomonas_42	181
5595seudomonas_184	181
3931seudomonas_753	178
5105seudomonas_87	178
2662seudomonas_436	176
3881seudomonas_703	174
2179seudomonas_288	173
2188seudomonas_297	173
3298seudomonas_120	172
6413seudomonas_241	170
966seudomonas_160	169
3302seudomonas_124	164
5513seudomonas_102	163
3308seudomonas_130	162
2609seudomonas_383	161
1121seudomonas_315	160
1828seudomonas_16	160
4327seudomonas_1149	160
2296seudomonas_70	159
1406seudomonas_31	158
2217seudomonas_326	154
2513seudomonas_287	154
3475seudomonas_297	153
4031seudomonas_853	152
5974seudomonas_376	152
6201seudomonas_29	152
922seudomonas_116	151
1262seudomonas_4	147
1265seudomonas_7	147
3622seudomonas_444	147
3046seudomonas_340	146
3670seudomonas_492	146
6152seudomonas_102	146
4435seudomonas_1257	145
6341seudomonas_169	145
181seudomonas_181	144
1923seudomonas_32	144
3474seudomonas_296	144
4818seudomonas_264	144
6027seudomonas_429	144
1032seudomonas_226	143
2185seudomonas_294	143
4024seudomonas_846	143
6140seudomonas_90	143
2466seudomonas_240	142
3618seudomonas_440	141
4861seudomonas_307	140
5417seudomonas_6	140
941seudomonas_135	139
2736seudomonas_30	138
6223seudomonas_51	138
3080seudomonas_11	137
3979seudomonas_801	137
4489seudomonas_1311	137
1428seudomonas_53	136
5008seudomonas_454	136
22seudomonas_22	134
2797seudomonas_91	134
2562seudomonas_336	133
1260seudomonas_2	131
1692seudomonas_85	131
2923seudomonas_217	130
5034seudomonas_16	130
6425seudomonas_253	130
4525seudomonas_1347	129
2082seudomonas_191	128
1495seudomonas_120	127
1938seudomonas_47	127
2564seudomonas_338	127
2932seudomonas_226	127
976seudomonas_170	127
1149seudomonas_343	126
4458seudomonas_1280	126
2763seudomonas_57	125
3141seudomonas_72	125
3716seudomonas_538	125
3958seudomonas_780	125
1801seudomonas_194	124
3094seudomonas_25	124
4891seudomonas_337	124
1588seudomonas_213	123
1799seudomonas_192	123
2868seudomonas_162	123
6196seudomonas_24	123
3284seudomonas_106	121
3925seudomonas_747	121
906seudomonas_100	121
4251seudomonas_1073	120
5931seudomonas_333	120
2501seudomonas_275	119
4338seudomonas_1160	119
5551seudomonas_140	119
1253seudomonas_447	118
1969seudomonas_78	118
3651seudomonas_473	118
4224seudomonas_1046	118
3609seudomonas_431	117
3637seudomonas_459	117
4300seudomonas_1122	117
5958seudomonas_360	117
6401seudomonas_229	116
6433seudomonas_261	116
4486seudomonas_1308	115
3227seudomonas_49	114
4363seudomonas_1185	114
451seudomonas_451	114
1330seudomonas_72	113
2939seudomonas_233	113
3772seudomonas_594	113
3936seudomonas_758	113
1922seudomonas_31	112
3329seudomonas_151	112
3691seudomonas_513	112
5800seudomonas_202	112
4278seudomonas_1100	110
4747seudomonas_193	110
1903seudomonas_12	109
3288seudomonas_110	109
4835seudomonas_281	109
5278seudomonas_260	109
5997seudomonas_399	109
4832seudomonas_278	108
2099seudomonas_208	107
2405seudomonas_179	107
3287seudomonas_109	107
3634seudomonas_456	107
3683seudomonas_505	107
5876seudomonas_278	106
2789seudomonas_83	105
4872seudomonas_318	105
5649seudomonas_51	105
1162seudomonas_356	104
2141seudomonas_250	104
221seudomonas_221	104
4739seudomonas_185	104
5665seudomonas_67	104
877seudomonas_71	104
807seudomonas_1	102
1021seudomonas_215	101
1117seudomonas_311	101
2152seudomonas_261	101
2219seudomonas_328	101
4042seudomonas_864	101
4465seudomonas_1287	101
4722seudomonas_168	101
5975seudomonas_377	101
2904seudomonas_198	100
1936seudomonas_45	99
2397seudomonas_171	99
2784seudomonas_78	99
2760seudomonas_54	98
4694seudomonas_140	98
2177seudomonas_286	97
3914seudomonas_736	97
4779seudomonas_225	96
5412seudomonas_1	96
826seudomonas_20	96
1407seudomonas_32	95
